Date / Time,CPU Usage %,Temperature C,,
2022-04-12 16:51:36.859320,14,0,,
2022-04-12 16:51:47.264271,4.9,0,,
2022-04-12 16:51:57.803495,2.3,0,,
2022-04-12 16:52:08.196207,1.8,0,,
2022-04-12 16:52:18.614466,3.4,0,,
2022-04-12 16:52:29.028819,2.5,0,,
2022-04-12 16:52:39.452620,1.7,0,,
2022-04-12 16:52:49.852007,1.6,0,,
2022-04-12 16:53:00.329746,1.6,0,,
2022-04-12 16:53:10.851909,1.7,0,,
2022-04-12 16:53:21.260753,1.7,0,,
2022-04-12 16:53:31.718742,1.9,0,,
2022-04-12 16:53:42.176046,1.7,0,,
2022-04-12 16:53:52.645998,1.6,0,,
2022-04-12 16:54:03.069464,1.5,0,,
2022-04-12 16:54:13.468114,1.6,0,,
2022-04-12 16:54:23.874211,1.6,0,,
2022-04-12 16:54:34.267776,1.6,0,,
2022-04-12 16:54:44.696191,1.5,0,,
2022-04-12 16:54:55.139436,1.6,0,,
2022-04-12 16:55:05.605674,1.6,0,,
2022-04-12 16:55:16.075348,1.7,0,,
2022-04-12 16:55:26.551046,1.5,0,,
2022-04-12 16:55:36.937681,1.5,0,,
2022-04-12 16:55:47.438256,2.1,0,,
2022-04-12 16:55:57.871446,1.4,0,,
2022-04-12 16:56:08.403837,1.5,0,,
2022-04-12 16:56:18.828087,1.5,0,,
2022-04-12 16:56:29.320316,1.9,0,,
2022-04-12 16:56:39.715013,1.7,0,,
2022-04-12 16:56:50.106524,1.6,0,,
2022-04-12 16:57:00.716963,1.4,0,,
2022-04-12 16:57:11.206730,1.5,0,,
2022-04-12 16:57:21.612052,1.5,0,,
2022-04-12 16:57:32.052254,1.8,0,,
2022-04-12 16:57:42.504951,1.6,0,,
2022-04-12 16:57:53.164585,1.5,0,,
2022-04-12 16:58:03.559674,1.8,0,,
2022-04-12 16:58:14.020476,1.4,0,,
2022-04-12 16:58:24.465961,1.4,0,,
2022-04-12 16:58:34.867139,1.5,0,,
2022-04-12 16:58:45.289550,1.6,0,,
2022-04-12 16:58:55.707900,1.4,0,,
2022-04-12 16:59:06.150339,1.7,0,,
2022-04-12 16:59:16.556367,1.7,0,,
2022-04-12 16:59:27.062732,1.4,0,,
2022-04-12 16:59:37.585147,1.7,0,,
2022-04-12 16:59:48.098614,1.7,0,,
2022-04-12 16:59:58.499127,1.5,0,,
2022-04-12 17:00:08.941159,1.6,0,,
2022-04-12 17:00:19.339507,1.5,0,,
2022-04-12 17:00:29.840078,2,0,,
2022-04-12 17:00:40.347223,2,0,,
2022-04-12 17:00:50.752439,1.7,0,,
2022-04-12 17:01:01.275655,1.5,0,,
2022-04-12 17:01:11.681089,1.7,0,,
2022-04-12 17:01:22.100919,2,0,,
2022-04-12 17:01:32.621637,2,0,,
2022-04-12 17:01:43.085685,1.9,0,,
2022-04-12 17:01:53.539636,1.4,0,,
2022-04-12 17:02:04.246246,2.1,0,,
2022-04-12 17:02:14.749313,1.3,0,,
2022-04-12 17:02:25.185630,1.9,0,,
2022-04-12 17:02:35.606401,1.8,0,,
2022-04-12 17:02:46.032212,1.7,0,,
2022-04-12 17:02:56.494103,1.5,0,,
2022-04-12 17:03:06.980988,1.7,0,,
2022-04-12 17:03:17.383315,1.7,0,,
2022-04-12 17:03:27.846423,1.8,0,,
2022-04-12 17:03:38.331134,1.7,0,,
2022-04-12 17:03:48.815668,1.5,0,,
2022-04-12 17:03:59.215813,1.4,0,,
2022-04-12 17:04:09.745642,1.5,0,,
2022-04-12 17:04:20.165651,1.8,0,,
2022-04-12 17:04:30.725756,1.9,0,,
2022-04-12 17:04:41.138089,1.6,0,,
2022-04-12 17:04:51.577832,1.6,0,,
2022-04-12 17:05:01.998617,1.5,0,,
2022-04-12 17:05:12.429127,1.7,0,,
2022-04-12 17:05:22.823279,1.7,0,,
2022-04-12 17:05:33.230091,1.7,0,,
2022-04-12 17:05:43.605664,1.6,0,,
2022-04-12 17:05:53.993554,1.4,0,,
2022-04-12 17:06:04.368773,1.7,0,,
2022-04-12 17:06:14.779453,1.3,0,,
2022-04-12 17:06:25.176081,1.6,0,,
2022-04-12 17:06:35.671196,1.6,0,,
2022-04-12 17:06:46.088136,1.7,0,,
2022-04-12 17:06:56.563064,1.5,0,,
2022-04-12 17:07:07.365079,1.6,0,,
2022-04-12 17:07:17.819698,1.5,0,,
2022-04-12 17:07:28.273069,1.7,0,,
2022-04-12 17:07:38.662917,1.5,0,,
2022-04-12 17:07:49.054066,1.6,0,,
2022-04-12 17:07:59.560028,1.6,0,,
2022-04-12 17:08:09.981293,1.9,0,,
2022-04-12 17:08:20.391104,1.7,0,,
2022-04-12 17:08:30.797633,1.7,0,,
2022-04-12 17:08:41.245511,1.8,0,,
2022-04-12 17:08:51.731780,1.5,0,,
2022-04-12 17:09:02.209964,1.8,0,,
